title,postal_code,beds,baths,sq_feet,price
Under Contract,94123,2.0,2.0,1128.0,1250000.0
House for sale,94123,3.0,3.0,2442.0,2295000.0
Under Contract,94123,1.0,1.0,670.0,849000.0
Condo for sale,94123,3.0,3.0,2100.0,2497000.0
New construction,94123,3.0,3.0,2073.0,3125000.0
House for sale,94123,1.0,1.0,806.0,825000.0
Condo for sale,94123,2.0,1.0,1857.1671,799000.0
House for sale,94123,3.0,3.0,2260.0,2598000.0
New construction,94123,6.0,6.0,7195.0,14500000.0
House for sale,94123,12.0,7.0,5890.0,5500000.0
Condo for sale,94123,3.0,3.0,1717.0,1995000.0
New construction,94123,1.0,1.0,697.0,998000.0
Condo for sale,94123,3.0,4.0,2529.0,3150000.0
House for sale,94123,5.0,6.0,4206.0,6500000.0
House for sale,94123,6.0,2.0,6324.0,4000000.0
House for sale,94123,5.0,5.0,3274.0,3700000.0
House for sale,94123,4.0,4.0,5142.0,13999000.0
House for sale,94123,2.0,2.0,1320.0,1395000.0
House for sale,94123,5.0,2.0,3276.0,3795000.0
New construction,94123,2.0,2.0,1044.0,1695000.0
Under Contract,94123,5.0,2.0,3107.0,2495000.0
House for sale,94123,5.0,2.0,4188.0,3600000.0
House for sale,94123,3.0,4.0,3111.0,4500000.0
Condo for sale,94123,2.0,2.0,1595.0,1795000.0
House for sale,94123,3.0,1.0,3037.0,2645000.0
Condo for sale,94123,2.0,2.0,1857.1671,1595000.0
New construction,94123,2.0,2.0,1200.0,1649000.0
New construction,94123,1.0,1.0,721.0,1049000.0
Under Contract,94123,2.0,2.0,1434.0,1649000.0
Condo for sale,94115,4.0,5.0,4004.0,4698000.0
Condo for sale,94103,2.0,2.0,1565.0,1195000.0
Condo for sale,94111,1.0,1.0,1006.0,960000.0
Condo for sale,94133,1.0,1.0,700.0,789000.0
Condo for sale,94103,1.0,1.0,541.0,595000.0
Condo for sale,94109,1.0,1.0,653.0,649000.0
New construction,94103,2.0,2.0,955.0,700000.0
Condo for sale,94105,2.0,2.0,1259.0,1649000.0
Under Contract,94109,2.0,1.0,852.0,1400000.0
Condo for sale,94105,2.0,2.0,1491.0,2599000.0
Condo for sale,94109,1.0,1.0,616.0,599000.0
House for sale,94115,3.0,2.0,1032.0,699000.0
Condo for sale,94109,3.0,2.0,1258.0,1349000.0
Condo for sale,94111,2.0,2.0,1532.0,1450000.0
House for sale,94114,4.0,2.0,2112.0,1895000.0
Condo for sale,94111,1.0,1.0,1030.0,949000.0
Condo for sale,94158,2.0,2.0,1569.0,2698888.0
Condo for sale,94105,1.0,1.0,694.0,749000.0
House for sale,94110,3.0,2.0,1475.0,1295000.0
Condo for sale,94107,3.0,3.0,1642.0,1245000.0
New construction,94103,2.0,2.0,844.0,949000.0
Condo for sale,94109,2.0,2.0,1382.0,950000.0
Condo for sale,94107,3.0,1.0,1297.0,1050000.0
Condo for sale,94105,2.0,2.0,1268.0,2200000.0
Condo for sale,94114,3.0,2.0,1605.0,1799000.0
Condo for sale,94107,2.0,2.0,1763.0,1450000.0
Condo for sale,94110,1.0,2.0,1003.0,1099000.0
Condo for sale,94105,2.0,2.0,995.0,1150000.0
Condo for sale,94104,3.0,3.0,2485.0,2995000.0
Condo for sale,94103,2.0,1.0,1547.0,1349000.0
Condo for sale,94107,1.0,2.0,860.0,875000.0
Condo for sale,94107,1.0,1.0,887.0,898000.0
Condo for sale,94107,1.0,1.0,866.0,998000.0
House for sale,94134,6.0,4.0,3227.0,1550000.0
House for sale,94134,3.0,2.0,1175.0,998889.0
Condo for sale,94134,3.0,2.0,1424.0,974000.0
Condo for sale,94134,2.0,2.0,935.0,699000.0
House for sale,94134,4.0,4.0,2640.0,1050000.0
House for sale,94134,3.0,2.0,1857.1671,1150000.0
Condo for sale,94134,2.0,2.0,935.0,698000.0
Condo for sale,94134,2.0,2.0,1073.0,738000.0
Under Contract,94134,4.0,2.0,2122.0,1448888.0
House for sale,94134,2.0,2.0,2100.0,899000.0
House for sale,94134,4.0,3.0,2610.0,1350000.0
Under Contract,94134,1.0,1.0,807.0,599000.0
House for sale,94134,3.0,2.0,1396.0,795000.0
