title,postal_code,provider,beds,baths,sq_feet,price
Condo for sale,94102,Sotheby's International Realty,2.0,2.0,1155.0,1495000.0
House for sale,94102,Compass,4.0,3.0,4200.0,2500000.0
House for sale,94102,Compass,8.0,6.0,6330.0,3800000.0
Condo for sale,94102,Compass SF,2.0,2.0,1219.0,1199000.0
Condo for sale,94102,Keller Williams San Francisco,0.0,1.0,525.0,615000.0
Condo for sale,94102,Corcoran Global Living,2.0,2.0,1099.0,939000.0
Condo for sale,94102,CDMG at Fulton 555,1.0,1.0,716.0,745000.0
Condo for sale,94102,Generation Real Estate,1.0,1.0,556.0,495000.0
Condo for sale,94102,Sotheby's International Realty,2.0,2.0,1360.0,1650000.0
House for sale,94102,City Real Estate,3.0,0.0,2200.0,1500000.0
New construction,94102,JS Sullivan Sales and Marketin,2.0,2.0,977.0,998000.0
Condo for sale,94102,Mosaik Real Estate,1.0,1.0,804.0,999000.0
Condo for sale,94102,City Real Estate,1.0,2.0,1121.0,1499000.0
Condo for sale,94102,Compass,1.0,1.0,709.0,679000.0
House for sale,94102,Avenue 8 Inc.,6.0,6.0,3816.0,3290000.0
New construction,94102,JS Sullivan Sales and Marketin,1.0,1.0,568.0,649000.0
House for sale,94102,Compass,10.0,3.0,4440.0,2995000.0
Condo for sale,94102,Corcoran Global Living,1.0,1.0,0.0,690000.0
Condo for sale,94102,Compass,1.0,1.0,398.0,449000.0
Lot / Land for sale,94102,Coldwell Banker Realty,0.0,0.0,0.0,2880000.0
Condo for sale,94102,Vanguard Properties,3.0,2.0,2655.0,1495000.0
Condo for sale,94102,Compass,0.0,1.0,518.0,460000.0
Condo for sale,94102,Coldwell Banker Realty,1.0,1.0,652.0,549000.0
New construction,94102,JS Sullivan Sales and Marketin,2.0,1.0,753.0,849000.0
Condo for sale,94102,Vanguard Properties,1.0,1.0,674.0,382521.0
Condo for sale,94102,Coldwell Banker Realty,1.0,1.0,682.0,670000.0
Condo for sale,94104,Marker Real Estate,3.0,3.0,2485.0,2995000.0
Condo for sale,94104,Sotheby's International Realty,2.0,2.0,1510.0,1595000.0
Condo for sale,94104,Compass,1.0,1.0,565.0,679000.0
Condo for sale,94104,Corcoran Global Living,1.0,1.0,806.0,948000.0
Condo for sale,94104,BarbCo,2.0,2.0,1431.0,1599000.0
Condo for sale,94104,Compass,1.0,2.0,1290.0,995000.0
Condo for sale,94104,Berkshire Hathaway-Franciscan,1.0,1.0,658.0,749000.0
Condo for sale,94103,San Francisco Marketing,2.0,2.0,1565.0,1195000.0
Condo for sale,94103,Vanguard Properties,1.0,1.0,541.0,595000.0
New construction,94103,Keller Williams San Francisco,2.0,2.0,955.0,700000.0
New construction,94103,Vanguard Properties,2.0,2.0,844.0,949000.0
Condo for sale,94103,Compass,2.0,1.0,1547.0,1349000.0
Condo for sale,94103,Vanguard Properties,1.0,1.0,815.0,895000.0
Condo for sale,94103,"Keller, Scott",1.0,1.0,795.0,685000.0
Condo for sale,94103,Coldwell Banker Realty,2.0,3.0,1470.0,998000.0
Under Contract,94103,Compass,2.0,2.0,1319.0,1175000.0
Condo for sale,94103,Compass,0.0,1.0,298.0,378000.0
Condo for sale,94103,Vanguard Properties,1.0,1.0,0.0,699000.0
Condo for sale,94103,Compass,2.0,2.0,2018.0,1695000.0
House for sale,94103,Compass SF,2.0,2.0,1250.0,1150000.0
Condo for sale,94103,Vanguard Properties,1.0,1.0,888.0,949000.0
Under Contract,94103,Coldwell Banker Realty,4.0,1.0,1894.0,1595000.0
Condo for sale,94103,Park North Real Estate,2.0,1.0,925.0,938000.0
Condo for sale,94103,Compass,2.0,2.0,0.0,949000.0
Condo for sale,94103,Compass,1.0,1.0,626.0,710000.0
Condo for sale,94103,Compass,1.0,1.0,664.0,749000.0
House for sale,94103,"Andersen, Jung & Co.",3.0,2.0,0.0,1485000.0
