,title,postal_code,provider,beds,baths,sq_feet,price,,,,,postal_code,price,,postal_code,mean_price,,,
76,Condo for sale,94103,Compass,1,2,875,895000,,,,,94103,895000,,,,,,
77,New construction,94103,Compass,0,1,494,495000,,,,,94103,495000,,,,,,
78,House for sale,94103,Vanguard Properties,12,0,4875,2400000,,,,,94103,2400000,,,,,,
79,Condo for sale,94103,Vanguard Properties,2,2,932,431846,,,,,94103,431846,,,,,,
80,Condo for sale,94103,Compass,1,1,739,799000,,,,,94103,799000,,,,,,
81,Condo for sale,94103,Compass SF,1,1,589,699000,,,,,94103,699000,,,,,,
82,Condo for sale,94103,Vanguard Properties,1,1,664,699000,,,,,94103,699000,,,,,,
83,Condo for sale,94103,Compass,1,2,1173,875000,,,,,94103,875000,,,,,,
84,Condo for sale,94103,JODI Group,1,1,745,799000,,,,,94103,799000,,,,,,
85,Condo for sale,94103,Vanguard Properties,2,2,1201,1275000,,,,,94103,1275000,,,,,,
86,Under Contract,94103,Kinoko,2,2,0,999000,,,,,94103,999000,,,,,,
87,Condo for sale,94105,Bay Real Estate Group,2,2,1259,1649000,,,,,94105,1649000,,,,,,
88,Condo for sale,94105,Bay Real Estate Group,2,2,1491,2599000,,,,,94105,2599000,,,,,,
90,Condo for sale,94105,Compass,1,1,694,749000,,,,,94105,749000,,,,,,
91,Condo for sale,94105,Compass,2,2,1268,2200000,,,,,94105,2200000,,,,,,
92,Condo for sale,94105,Compass,2,2,995,1150000,,,,,94105,1150000,,,,,,
94,Condo for sale,94105,Epic Real Estate & Asso. Inc.,1,2,1354,1588000,,,,,94105,1588000,,,,,,
95,Condo for sale,94105,Vanguard Properties,1,1,798,1050000,,,,,94105,1050000,,,,,,
96,Condo for sale,94105,"JSL Realty, Inc.",2,2,1215,1299000,,,,,94105,1299000,,,,,,
97,Condo for sale,94105,Sotheby's International Realty,1,1,851,1095000,,,,,94105,1095000,,,,,,
99,Condo for sale,94105,Real Estate Advisor Group,1,1,710,799000,,,,,94105,799000,,,,,,
100,New construction,94105,Skybox Realty,1,1,710,825000,,,,,94105,825000,,,,,,
101,Condo for sale,94105,Corcoran Global Living,3,3,2130,3295000,,,,,94105,3295000,,,,,,
104,Condo for sale,94105,Compass,2,2,0,1159000,,,,,94105,1159000,,,,,,
105,Condo for sale,94105,Skybox Realty,2,2,1177,1475000,,,,,94105,1475000,,,,,,
106,Condo for sale,94105,Marker Real Estate,2,3,1845,1925000,,,,,94105,1925000,,,,,,
107,New construction,94105,Polaris Pacific,3,4,5223,5995000,,,,,94105,5995000,,,,,,
109,Condo for sale,94105,Compass,0,1,498,610000,,,,,94105,610000,,,,,,
110,Condo for sale,94105,Compass,2,2,1401,1695000,,,,,94105,1695000,,,,,,
112,New construction,94105,"Helena Geng, Broker",1,2,916,1180000,,,,,94105,1180000,,,,,,
113,Condo for sale,94105,Coldwell Banker Realty,1,1,909,1100000,,,,,94105,1100000,,,,,,
114,New construction,94105,Polaris Pacific,2,2,1422,1695000,,,,,94105,1695000,,,,,,
115,Condo for sale,94105,Berkshire Hathaway-Franciscan,0,1,493,599000,,,,,94105,599000,,,,,,
116,Condo for sale,94105,Parc Bay Real Estate,1,1,669,798000,,,,,94105,798000,,,,,,
117,Condo for sale,94105,KW Peninsula Estates,1,1,493,639000,,,,,94105,639000,,,,,,
118,Condo for sale,94105,Compass,0,1,486,615000,,,,,94105,615000,,,,,,
120,Condo for sale,94105,City Real Estate,2,2,1019,1295000,,,,,94105,1295000,,,,,,
121,Condo for sale,94105,Skybox Realty,1,1,733,850000,,,,,94105,850000,,,,,,
122,Condo for sale,94105,Compass,1,0,840,1195000,,,,,94105,1195000,,,,,,
123,Condo for sale,94105,Compass,1,1,873,915000,,,,,94105,915000,,,,,,
124,Under Contract,94105,Engel & Voelkers San Francisco,2,2,1434,1729000,,,,,94105,1729000,,,,,,
125,New construction,94105,CDMG at 181 Fremont St.,2,2,1637,3800000,,,,,94105,3800000,,,,,,
126,Condo for sale,94105,Compass SF,1,1,789,925000,,,,,94105,925000,,,,,,
128,Under Contract,94123,Compass,4,4,3774,3750000,,,,,94123,3750000,,,,,,
129,Condo for sale,94123,Sotheby's International Realty,3,2,0,2250000,,,,,94123,2250000,,,,,,
130,House for sale,94123,Compass,5,5,4175,7250000,,,,,94123,7250000,,,,,,
