,title,postal_code,provider,beds,baths,sq_feet,price,,,,,postal_code,price,,postal_code,mean_price,,,
365,Condo for sale,94107,Compass,2,2,924,1350000,,,,,94107,1350000,,,,,,
366,Condo for sale,94107,Redfin,2,2,964,1190000,,,,,94107,1190000,,,,,,
367,House for sale,94107,Keller Williams,8,3,5040,3200000,,,,,94107,3200000,,,,,,
368,Condo for sale,94107,Compass,1,1,691,749000,,,,,94107,749000,,,,,,
369,Condo for sale,94107,Vanguard Properties,2,2,1225,1249000,,,,,94107,1249000,,,,,,
370,Condo for sale,94107,Vanguard Properties,1,1,0,749000,,,,,94107,749000,,,,,,
371,Under Contract,94107,Compass,2,2,1344,1349000,,,,,94107,1349000,,,,,,
372,Condo for sale,94111,Compass SF,1,1,1006,960000,,,,,94111,960000,,,,,,
373,Condo for sale,94111,San Francisco R.E. Svcs.,2,2,1532,1450000,,,,,94111,1450000,,,,,,
374,Condo for sale,94111,Compass,1,1,1030,949000,,,,,94111,949000,,,,,,
375,Condo for sale,94111,Corcoran Global Living,1,1,503,569000,,,,,94111,569000,,,,,,
376,Condo for sale,94111,Corcoran Global Living,1,1,580,552000,,,,,94111,552000,,,,,,
377,Under Contract,94111,Sotheby's International Realty,1,2,840,1100000,,,,,94111,1100000,,,,,,
378,House for sale,94111,Compass,0,0,0,12000000,,,,,94111,12000000,,,,,,
379,House for sale,94111,Compass,0,0,0,5000000,,,,,94111,5000000,,,,,,
380,Condo for sale,94111,Sotheby's International Realty,1,1,709,634500,,,,,94111,634500,,,,,,
381,Condo for sale,94111,Compass,1,1,580,529000,,,,,94111,529000,,,,,,
382,Condo for sale,94111,Coldwell Banker Realty,2,2,1719,1669000,,,,,94111,1669000,,,,,,
383,Under Contract,94111,Corcoran Global Living,1,1,580,520000,,,,,94111,520000,,,,,,
384,Condo for sale,94111,San Francisco R.E. Svcs.,1,1,989,979000,,,,,94111,979000,,,,,,
385,Under Contract,94111,Compass,1,1,617,529000,,,,,94111,529000,,,,,,
386,Under Contract,94111,Compass,1,1,620,589000,,,,,94111,589000,,,,,,
387,Condo for sale,94111,Sotheby's International Realty,1,1,566,555000,,,,,94111,555000,,,,,,
388,Condo for sale,94111,Park North Real Estate,2,2,1423,1295000,,,,,94111,1295000,,,,,,
392,House for sale,94112,Coldwell Banker Realty,5,4,2753,2249000,,,,,94112,2249000,,,,,,
393,Condo for sale,94112,Intero Real Estate Services,4,2,2444,1388000,,,,,94112,1388000,,,,,,
394,House for sale,94112,Compass,4,3,1660,899000,,,,,94112,899000,,,,,,
395,House for sale,94112,JODI Group,4,3,2760,1100000,,,,,94112,1100000,,,,,,
396,House for sale,94112,"eXp Realty of California, Inc",4,4,2250,1395000,,,,,94112,1395000,,,,,,
397,House for sale,94112,MaxReal,3,2,1083,949000,,,,,94112,949000,,,,,,
398,House for sale,94112,Compass SF,4,4,4040,995000,,,,,94112,995000,,,,,,
399,Lot / Land for sale,94112,Compass SF,0,0,0,559000,,,,,94112,559000,,,,,,
400,House for sale,94112,RE/MAX Gold Daly City,4,3,2050,1250000,,,,,94112,1250000,,,,,,
402,House for sale,94112,"Andersen, Jung & Co.",5,3,2344,1388000,,,,,94112,1388000,,,,,,
403,Under Contract,94112,Sotheby's International Realty,2,1,850,959000,,,,,94112,959000,,,,,,
404,House for sale,94112,"Andersen, Jung & Co.",5,0,2344,1388000,,,,,94112,1388000,,,,,,
405,Under Contract,94112,Jenny He Realty Associates,4,3,1995,1599000,,,,,94112,1599000,,,,,,
406,Under Contract,94112,Century 21 Baldini Realty,3,2,1278,1200000,,,,,94112,1200000,,,,,,
407,House for sale,94112,BarbCo,5,4,1729,1495000,,,,,94112,1495000,,,,,,
408,House for sale,94112,Bay One Realty,5,5,2083,1099000,,,,,94112,1099000,,,,,,
409,House for sale,94112,Coldwell Banker Realty,5,3,1820,1399000,,,,,94112,1399000,,,,,,
412,Under Contract,94112,"Prime Metropolis Prop., Inc.",3,1,950,1195000,,,,,94112,1195000,,,,,,
413,House for sale,94112,Global Realty,4,3,2337,1399000,,,,,94112,1399000,,,,,,
414,House for sale,94112,Compass,5,0,2100,1095000,,,,,94112,1095000,,,,,,
415,House for sale,94112,Corcoran Global Living,5,5,3092,1725000,,,,,94112,1725000,,,,,,
416,Under Contract,94112,Compass,2,2,0,1285000,,,,,94112,1285000,,,,,,
417,Multi-family home for sale,94112,Far East Realty,4,2,1400,989000,,,,,94112,989000,,,,,,
418,Multi-family home for sale,94112,Starboard Commercial Brokerage,12,0,11146,4988000,,,,,94112,4988000,,,,,,
419,Under Contract,94112,Berkshire Hathaway-Franciscan,18,0,10641,3895000,,,,,94112,3895000,,,,,,
420,Multi-family home for sale,94112,"Maven Commercial, Inc.",5,3,2250,950000,,,,,94112,950000,,,,,,
421,Under Contract,94112,Vanguard Properties,3,4,2785,1495000,,,,,94112,1495000,,,,,,
422,Condo for sale,94112,Bay Real Estate Group,2,2,1387,879000,,,,,94112,879000,,,,,,
428,House for sale,94112,Asahi Realty,2,1,2136,1499999,,,,,94112,1499999,,,,,,
430,House for sale,94110,Engel & Voelkers San Francisco,3,2,1518,2325000,,,,,94110,2325000,,,,,,
431,House for sale,94110,Redfin,3,2,1450,1190000,,,,,94110,1190000,,,,,,
433,Condo for sale,94110,Compass,2,1,842,759000,,,,,94110,759000,,,,,,
434,House for sale,94110,Vanguard Properties,3,2,1475,1295000,,,,,94110,1295000,,,,,,
435,Condo for sale,94110,Compass,1,2,1003,1099000,,,,,94110,1099000,,,,,,
436,House for sale,94110,Compass,3,2,1250,1249000,,,,,94110,1249000,,,,,,
437,Condo for sale,94110,Compass,2,2,1056,1249000,,,,,94110,1249000,,,,,,
439,Condo for sale,94110,Compass SF,2,2,1562,1595000,,,,,94110,1595000,,,,,,
440,House for sale,94110,Corcoran Global Living,2,3,2011,1095000,,,,,94110,1095000,,,,,,
441,Under Contract,94110,Compass,1,2,1121,1550000,,,,,94110,1550000,,,,,,
442,House for sale,94110,Makras Real Estate,4,1,6350,2600000,,,,,94110,2600000,,,,,,
443,House for sale,94110,Makras Real Estate,8,1,2625,1200000,,,,,94110,1200000,,,,,,
444,House for sale,94110,Vanguard Properties,4,2,1990,1498000,,,,,94110,1498000,,,,,,
445,House for sale,94110,Corcoran Global Living,2,2,1300,1098000,,,,,94110,1098000,,,,,,
446,Condo for sale,94110,Keller Williams San Francisco,2,2,1162,998000,,,,,94110,998000,,,,,,
447,House for sale,94110,Vanguard Properties,3,3,2262,1750000,,,,,94110,1750000,,,,,,
448,Condo for sale,94110,Compass SF,0,1,1075,865000,,,,,94110,865000,,,,,,
449,Under Contract,94110,Sotheby's International Realty,3,2,0,1495000,,,,,94110,1495000,,,,,,
450,House for sale,94110,Compass,3,2,0,1195000,,,,,94110,1195000,,,,,,
451,Condo for sale,94110,Sotheby's International Realty,2,2,1570,1595000,,,,,94110,1595000,,,,,,
453,Condo for sale,94110,Compass,2,2,0,1250000,,,,,94110,1250000,,,,,,
454,Under Contract,94110,Vanguard Properties,2,1,993,949000,,,,,94110,949000,,,,,,
455,Condo for sale,94110,Compass,2,2,1058,999000,,,,,94110,999000,,,,,,
456,House for sale,94110,Corcoran Global Living,4,2,2700,1695000,,,,,94110,1695000,,,,,,
457,House for sale,94110,Marcus & Millichap,0,0,5990,3000000,,,,,94110,3000000,,,,,,
458,Condo for sale,94110,Vanguard Properties,3,3,1713,1795000,,,,,94110,1795000,,,,,,
459,New construction,94110,Polaris Realty,3,4,1975,2495000,,,,,94110,2495000,,,,,,
461,New construction,94110,Vanguard Properties,1,1,0,745000,,,,,94110,745000,,,,,,
462,House for sale,94110,Vanguard Properties,8,5,4585,2150000,,,,,94110,2150000,,,,,,
463,House for sale,94110,Polaris Realty,2,1,0,939000,,,,,94110,939000,,,,,,
464,House for sale,94110,ARG Real Estate,4,4,0,4995000,,,,,94110,4995000,,,,,,
466,Under Contract,94110,Compass SF,2,1,1334,1195000,,,,,94110,1195000,,,,,,
470,Condo for sale,94109,Present Financial Properties,1,1,653,649000,,,,,94109,649000,,,,,,
471,Under Contract,94109,North Point Real Estate,2,1,852,1400000,,,,,94109,1400000,,,,,,
472,Condo for sale,94109,T. Okamoto & Co.,1,1,616,599000,,,,,94109,599000,,,,,,
473,Condo for sale,94109,Compass,3,2,1258,1349000,,,,,94109,1349000,,,,,,
474,Condo for sale,94109,Coldwell Banker Realty,2,2,1382,950000,,,,,94109,950000,,,,,,
476,Condo for sale,94109,Compass,1,1,805,849000,,,,,94109,849000,,,,,,
477,Condo for sale,94109,Redfin,2,2,989,1298000,,,,,94109,1298000,,,,,,
478,Under Contract,94109,Compass,2,2,1630,1190000,,,,,94109,1190000,,,,,,
479,Condo for sale,94109,Home Quest Realty,0,0,479,356509,,,,,94109,356509,,,,,,
480,Condo for sale,94109,Compass,0,1,0,649000,,,,,94109,649000,,,,,,
481,Condo for sale,94109,Vanguard Properties,1,1,700,828000,,,,,94109,828000,,,,,,
482,Condo for sale,94109,Compass SF,2,2,1500,1495000,,,,,94109,1495000,,,,,,
483,Condo for sale,94109,Sotheby's International Realty,1,1,629,599000,,,,,94109,599000,,,,,,
484,Condo for sale,94109,Sotheby's International Realty,2,2,1630,2195000,,,,,94109,2195000,,,,,,
486,House for sale,94109,Vanguard Properties,4,4,4500,6795000,,,,,94109,6795000,,,,,,
487,Condo for sale,94109,Compass SF,2,2,1110,1500000,,,,,94109,1500000,,,,,,
488,Condo for sale,94109,Compass SF,1,1,775,799000,,,,,94109,799000,,,,,,
491,Condo for sale,94109,Compass SF,2,2,1065,999000,,,,,94109,999000,,,,,,
492,Condo for sale,94109,Century 21 Realty Alliance,2,2,1402,2050000,,,,,94109,2050000,,,,,,
493,Condo for sale,94109,Luxmore Real Estate,2,2,816,799000,,,,,94109,799000,,,,,,
494,House for sale,94109,Corcoran Global Living,0,1,5235,599000,,,,,94109,599000,,,,,,
495,Condo for sale,94109,Vanguard Properties,1,2,834,875000,,,,,94109,875000,,,,,,
496,Condo for sale,94109,Sequoia Real Estate,4,1,2627,1649000,,,,,94109,1649000,,,,,,
497,Condo for sale,94109,GPK Luxury Real Estate,1,2,1450,1295000,,,,,94109,1295000,,,,,,
498,Condo for sale,94109,Vanguard Properties,2,2,1326,1699000,,,,,94109,1699000,,,,,,
499,Condo for sale,94109,Corcoran Global Living,2,1,998,1450000,,,,,94109,1450000,,,,,,
500,House for sale,94109,Compass,8,0,4940,2950000,,,,,94109,2950000,,,,,,
501,Condo for sale,94109,Compass,1,1,632,575000,,,,,94109,575000,,,,,,
502,Condo for sale,94109,Coldwell Banker Realty,3,2,1100,795000,,,,,94109,795000,,,,,,
503,Condo for sale,94109,Compass SF,1,1,624,699000,,,,,94109,699000,,,,,,
504,Condo for sale,94109,Compass,2,2,1248,1350000,,,,,94109,1350000,,,,,,
505,Condo for sale,94109,Coldwell Banker Realty,3,3,3456,6500000,,,,,94109,6500000,,,,,,
506,Condo for sale,94109,Home Quest Realty,1,1,532,399273,,,,,94109,399273,,,,,,
507,House for sale,94109,Compass,12,4,8895,4895000,,,,,94109,4895000,,,,,,
508,New construction,94109,Compass,3,3,2076,3750000,,,,,94109,3750000,,,,,,
509,Condo for sale,94109,Sotheby's International Realty,1,1,625,899000,,,,,94109,899000,,,,,,
510,House for sale,94114,Vanguard Properties,2,1,0,975000,,,,,94114,975000,,,,,,
511,House for sale,94114,Vanguard Properties,2,2,0,1650000,,,,,94114,1650000,,,,,,
513,House for sale,94114,Vanguard Properties,4,0,3160,2195000,,,,,94114,2195000,,,,,,
514,House for sale,94114,Compass,4,2,2112,1895000,,,,,94114,1895000,,,,,,
515,House for sale,94114,Compass,3,3,800,1000000,,,,,94114,1000000,,,,,,
516,Condo for sale,94114,Ascend Real Estate,3,2,1605,1799000,,,,,94114,1799000,,,,,,
517,Condo for sale,94114,Compass,2,2,0,1849000,,,,,94114,1849000,,,,,,
518,House for sale,94114,Compass,4,3,2353,2200000,,,,,94114,2200000,,,,,,
519,Condo for sale,94114,The Agency,2,2,1762,1497000,,,,,94114,1497000,,,,,,
520,House for sale,94114,Marcus & Millichap,4,0,2576,1650000,,,,,94114,1650000,,,,,,
521,House for sale,94114,Sotheby's International Realty,3,2,1687,1850000,,,,,94114,1850000,,,,,,
522,House for sale,94114,Compass,1,2,1036,1050000,,,,,94114,1050000,,,,,,
523,House for sale,94114,Vanguard Properties,4,4,3371,4395000,,,,,94114,4395000,,,,,,
524,Condo for sale,94114,Mosaik Real Estate,3,3,1859,2275000,,,,,94114,2275000,,,,,,
525,House for sale,94114,Redfin,2,2,1100,1375000,,,,,94114,1375000,,,,,,
526,Under Contract,94114,Redfin,1,2,1005,975000,,,,,94114,975000,,,,,,
527,House for sale,94114,Compass SF,5,5,3860,5500000,,,,,94114,5500000,,,,,,
528,Under Contract,94114,Vanguard Properties,4,3,2728,2750000,,,,,94114,2750000,,,,,,
530,Condo for sale,94114,Compass SF,3,1,1675,1595000,,,,,94114,1595000,,,,,,
531,House for sale,94114,Corcoran Global Living,2,1,0,888000,,,,,94114,888000,,,,,,
532,House for sale,94114,Compass,4,5,2893,3995000,,,,,94114,3995000,,,,,,
533,House for sale,94114,Redfin,2,2,0,1550000,,,,,94114,1550000,,,,,,
534,House for sale,94114,Compass,5,5,5400,2395000,,,,,94114,2395000,,,,,,
535,House for sale,94114,Compass,5,5,5400,2395000,,,,,94114,2395000,,,,,,
536,House for sale,94114,Compass,3,3,3003,4849000,,,,,94114,4849000,,,,,,
537,Condo for sale,94114,Hartford Properties,4,2,2128,1300000,,,,,94114,1300000,,,,,,
538,House for sale,94114,Vanguard Properties,5,1,2500,2800000,,,,,94114,2800000,,,,,,
539,Condo for sale,94114,Compass SF,2,2,1528,1298000,,,,,94114,1298000,,,,,,
540,Under Contract,94114,Corcoran Global Living,2,2,1682,1100000,,,,,94114,1100000,,,,,,
541,Under Contract,94114,Corcoran Global Living,1,1,866,825000,,,,,94114,825000,,,,,,
542,House for sale,94114,Coldwell Banker Realty,3,2,1458,1998000,,,,,94114,1998000,,,,,,
543,Under Contract,94114,Coldwell Banker Realty,2,1,1100,1195000,,,,,94114,1195000,,,,,,
544,House for sale,94114,Compass,2,2,1273,1825000,,,,,94114,1825000,,,,,,
545,House for sale,94114,Coldwell Banker Realty,3,3,0,2600000,,,,,94114,2600000,,,,,,
546,House for sale,94114,Vanguard Properties,3,1,1312,1249000,,,,,94114,1249000,,,,,,
547,Under Contract,94114,Sotheby's International Realty,2,1,1014,750000,,,,,94114,750000,,,,,,
548,House for sale,94114,Sotheby's International Realty,3,2,0,1995000,,,,,94114,1995000,,,,,,
549,Under Contract,94114,Sotheby's International Realty,5,6,4538,5495000,,,,,94114,5495000,,,,,,
550,New construction,94117,Vanguard Properties,1,1,0,1095000,,,,,94117,1095000,,,,,,
551,Condo for sale,94117,Vanguard Properties,3,3,0,2495000,,,,,94117,2495000,,,,,,
552,House for sale,94117,Vanguard Properties,5,6,3870,3795000,,,,,94117,3795000,,,,,,
553,Condo for sale,94117,Compass,3,1,1857,1695000,,,,,94117,1695000,,,,,,
554,House for sale,94117,Compass,3,2,1600,1449500,,,,,94117,1449500,,,,,,
555,Condo for sale,94117,Compass,3,2,0,1495000,,,,,94117,1495000,,,,,,
556,House for sale,94117,Compass,13,4,5280,2795000,,,,,94117,2795000,,,,,,
557,House for sale,94117,Compass,6,0,4754,2399000,,,,,94117,2399000,,,,,,
558,Condo for sale,94117,Compass SF,3,2,922,1195000,,,,,94117,1195000,,,,,,
559,House for sale,94117,Compass,12,0,15140,7199000,,,,,94117,7199000,,,,,,
560,Condo for sale,94117,Corcoran Global Living,3,2,2003,1849000,,,,,94117,1849000,,,,,,
561,House for sale,94117,Coldwell Banker Realty,3,3,2400,2795000,,,,,94117,2795000,,,,,,
562,House for sale,94117,Keller Williams San Francisco,11,13,5889,3795000,,,,,94117,3795000,,,,,,
563,Condo for sale,94117,Avenue 8 Inc.,1,1,0,899900,,,,,94117,899900,,,,,,
564,Condo for sale,94117,Compass,1,1,829,1095000,,,,,94117,1095000,,,,,,
565,Condo for sale,94117,Pacific Edge,1,1,1204,995000,,,,,94117,995000,,,,,,
566,House for sale,94117,Compass SF,6,2,1556,1595000,,,,,94117,1595000,,,,,,
567,Under Contract,94117,Polaris Realty,2,1,1076,1249000,,,,,94117,1249000,,,,,,
568,Condo for sale,94117,Redfin,2,1,1258,1250000,,,,,94117,1250000,,,,,,
569,Under Contract,94117,Berkshire Hathaway-Franciscan,5,4,2900,2399000,,,,,94117,2399000,,,,,,
570,Lot / Land for sale,94117,Vanguard Properties,0,0,0,3495000,,,,,94117,3495000,,,,,,
571,House for sale,94117,"Jeremy Lee, Broker",9,3,5655,2990000,,,,,94117,2990000,,,,,,
572,Under Contract,94117,Urban Group Real Estate,10,1,4320,2295000,,,,,94117,2295000,,,,,,
573,Under Contract,94117,Sotheby's International Realty,1,1,705,799000,,,,,94117,799000,,,,,,
574,House for sale,94117,"Bill Harkins Brokerage, Inc.",4,3,3000,3675000,,,,,94117,3675000,,,,,,
575,House for sale,94117,Elevation Real Estate,5,2,2874,1995000,,,,,94117,1995000,,,,,,
576,House for sale,94117,Elevation Real Estate,3,2,1804,1595000,,,,,94117,1595000,,,,,,
577,House for sale,94117,Marcus & Millichap,23,0,16830,6300000,,,,,94117,6300000,,,,,,
578,Condo for sale,94117,Pacific Edge,3,2,1823,1645000,,,,,94117,1645000,,,,,,
579,House for sale,94117,"Lucas Clot, Broker",4,3,2378,2650000,,,,,94117,2650000,,,,,,
580,Condo for sale,94117,BarbCo,3,4,2000,2000000,,,,,94117,2000000,,,,,,
581,Condo for sale,94117,Compass,2,1,1319,1390000,,,,,94117,1390000,,,,,,
582,House for sale,94117,Sotheby's International Realty,6,3,4315,2898000,,,,,94117,2898000,,,,,,
583,Under Contract,94117,Berkshire Hathaway-Franciscan,2,2,1193,1050000,,,,,94117,1050000,,,,,,
584,Condo for sale,94117,Compass,1,1,590,749000,,,,,94117,749000,,,,,,
585,Condo for sale,94117,"Danita Kulp, Broker",2,1,790,859000,,,,,94117,859000,,,,,,
586,House for sale,94117,Redfin,4,3,1706,1450000,,,,,94117,1450000,,,,,,
587,House for sale,94117,Elevation Real Estate,8,5,4678,3650000,,,,,94117,3650000,,,,,,
588,House for sale,94117,Marcus & Millichap,9,0,5175,2675000,,,,,94117,2675000,,,,,,
589,Under Contract,94117,"West & Praszker, REALTORS®",2,4,2750,1800000,,,,,94117,1800000,,,,,,
591,House for sale,94116,Coldwell Banker Realty,2,1,1400,1195000,,,,,94116,1195000,,,,,,
592,House for sale,94116,Sotheby's International Realty,4,4,2067,1798000,,,,,94116,1798000,,,,,,
593,House for sale,94116,Corcoran Global Living,3,2,2133,1595000,,,,,94116,1595000,,,,,,
594,House for sale,94116,Compass,2,1,1075,1195000,,,,,94116,1195000,,,,,,
595,House for sale,94116,Mosaik Real Estate,2,1,800,999000,,,,,94116,999000,,,,,,
596,House for sale,94116,Century 21 Realty Alliance,4,5,2747,2195000,,,,,94116,2195000,,,,,,
597,House for sale,94116,BarbCo,3,2,1214,1095000,,,,,94116,1095000,,,,,,
598,House for sale,94116,Anchor Realty,3,2,1755,1595000,,,,,94116,1595000,,,,,,
599,House for sale,94116,MaxReal,3,2,1214,1095000,,,,,94116,1095000,,,,,,
600,House for sale,94116,Compass SF,3,2,1758,1498000,,,,,94116,1498000,,,,,,
601,House for sale,94116,BarbCo,5,3,1912,1195000,,,,,94116,1195000,,,,,,
602,Under Contract,94116,The Point Realty,3,2,943,1350000,,,,,94116,1350000,,,,,,
603,House for sale,94116,Elevation Real Estate,4,2,3100,1800000,,,,,94116,1800000,,,,,,
604,House for sale,94116,Coldwell Banker Realty,4,2,1819,1095000,,,,,94116,1095000,,,,,,
605,House for sale,94116,Intero Real Estate Services,4,0,2356,1400000,,,,,94116,1400000,,,,,,
606,House for sale,94116,Asia Pacific Groups,3,2,1300,1180000,,,,,94116,1180000,,,,,,
607,New construction,94116,Sotheby's International Realty,3,3,2214,1698000,,,,,94116,1698000,,,,,,
608,Under Contract,94116,Sotheby's International Realty,3,3,2214,1489000,,,,,94116,1489000,,,,,,
609,Multi-family home for sale,94116,Compass,6,5,2790,2050000,,,,,94116,2050000,,,,,,
610,Multi-family home for sale,94116,"Prime Metropolis Prop., Inc.",4,2,2444,1500000,,,,,94116,1500000,,,,,,
611,House for sale,94116,BarbCo,5,3,2200,2250000,,,,,94116,2250000,,,,,,
612,Lot / Land for sale,94116,Corcoran Global Living,0,0,0,980000,,,,,94116,980000,,,,,,
613,House for sale,94121,"Rogers & Associates, Inc.",3,3,2597,1899000,,,,,94121,1899000,,,,,,
614,Townhouse for sale,94121,Kindred SF Homes,3,2,1297,1395000,,,,,94121,1395000,,,,,,
615,House for sale,94121,Sequoia Real Estate,3,2,0,1349000,,,,,94121,1349000,,,,,,
616,House for sale,94121,First National Realty,6,5,2900,2180000,,,,,94121,2180000,,,,,,
617,House for sale,94121,Compass,4,4,3098,1425000,,,,,94121,1425000,,,,,,
618,Condo for sale,94121,Coldwell Banker Realty,3,3,1835,1200000,,,,,94121,1200000,,,,,,
619,House for sale,94121,Corcoran Global Living,3,2,1800,1720000,,,,,94121,1720000,,,,,,
621,House for sale,94121,"Xu, Lei",7,5,3029,2100000,,,,,94121,2100000,,,,,,
623,Under Contract,94121,Compass,3,2,1950,1498000,,,,,94121,1498000,,,,,,
624,Under Contract,94121,Coldwell Banker Realty,2,2,2775,1495000,,,,,94121,1495000,,,,,,
625,House for sale,94121,Polaris Realty,11,5,4045,4144000,,,,,94121,4144000,,,,,,
626,House for sale,94121,Polaris Realty,4,3,2269,2295000,,,,,94121,2295000,,,,,,
627,Under Contract,94121,Compass,1,1,590,699000,,,,,94121,699000,,,,,,
628,House for sale,94121,Prime Meridian Realty & Mtg.,1,1,0,1125000,,,,,94121,1125000,,,,,,
629,House for sale,94121,Prime Meridian Realty & Mtg.,3,3,3242,2950000,,,,,94121,2950000,,,,,,
630,House for sale,94121,Prime Meridian Realty & Mtg.,3,3,0,2950000,,,,,94121,2950000,,,,,,
631,House for sale,94121,Coldwell Banker Realty,4,6,0,2980000,,,,,94121,2980000,,,,,,
632,House for sale,94121,Vanguard Properties,5,8,4485,3595000,,,,,94121,3595000,,,,,,
633,House for sale,94121,Compass SF,6,4,4861,4850000,,,,,94121,4850000,,,,,,
634,House for sale,94121,Compass,6,7,7170,17500000,,,,,94121,17500000,,,,,,
635,House for sale,94121,"Patricia Aguaristi, Broker",4,4,3420,7999000,,,,,94121,7999000,,,,,,
636,Under Contract,94121,Sotheby's International Realty,2,1,1555,1195000,,,,,94121,1195000,,,,,,
637,Under Contract,94121,Sotheby's International Realty,3,2,1840,1395000,,,,,94121,1395000,,,,,,
638,Under Contract,94121,Compass,4,2,3340,1395000,,,,,94121,1395000,,,,,,
639,House for sale,94121,Bayview Real Estate & Mortgage,7,0,6045,3498000,,,,,94121,3498000,,,,,,
640,Under Contract,94121,Madison Hunter,5,3,2900,1995000,,,,,94121,1995000,,,,,,
641,House for sale,94121,Coldwell Banker Realty,4,4,0,2980000,,,,,94121,2980000,,,,,,
642,Multi-family home for sale,94121,Coldwell Banker Realty,4,3,2410,1425000,,,,,94121,1425000,,,,,,
643,House for sale,94121,Colliers International,12,0,9240,4600000,,,,,94121,4600000,,,,,,
644,Under Contract,94121,Sotheby's International Realty,5,5,3395,2590000,,,,,94121,2590000,,,,,,
647,Foreclosure,94121,Luxe Places International Real,8,0,10825,3960000,,,,,94121,3960000,,,,,,
649,Under Contract,94123,Compass,4,4,3774,3750000,,,,,94123,3750000,,,,,,
650,Condo for sale,94123,Sotheby's International Realty,3,2,0,2250000,,,,,94123,2250000,,,,,,
651,House for sale,94123,Compass,5,5,4175,7250000,,,,,94123,7250000,,,,,,
653,House for sale,94123,Trident Real Estate,12,0,9450,7600000,,,,,94123,7600000,,,,,,
654,Under Contract,94123,City Real Estate,2,2,1128,1250000,,,,,94123,1250000,,,,,,
655,House for sale,94123,Compass,3,3,2442,2295000,,,,,94123,2295000,,,,,,
656,Under Contract,94123,Golden Gate Sotheby's Intl,1,1,670,849000,,,,,94123,849000,,,,,,
658,Condo for sale,94123,Compass,3,3,2100,2497000,,,,,94123,2497000,,,,,,
660,New construction,94123,JS Sullivan Sales and Marketin,3,3,2073,3125000,,,,,94123,3125000,,,,,,
661,House for sale,94123,Corcoran Global Living,1,1,806,825000,,,,,94123,825000,,,,,,
662,Condo for sale,94123,Compass SF,0,1,0,799000,,,,,94123,799000,,,,,,
663,House for sale,94123,Sotheby's International Realty,3,3,2260,2598000,,,,,94123,2598000,,,,,,
664,New construction,94123,Compass,6,6,7195,14500000,,,,,94123,14500000,,,,,,
665,House for sale,94123,Sotheby's International Realty,10,7,5890,5500000,,,,,94123,5500000,,,,,,
666,Condo for sale,94123,Sotheby's International Realty,3,3,1717,1995000,,,,,94123,1995000,,,,,,
670,New construction,94123,JS Sullivan Sales and Marketin,1,1,697,998000,,,,,94123,998000,,,,,,
671,Condo for sale,94123,Corcoran Global Living,3,4,2529,3150000,,,,,94123,3150000,,,,,,
672,House for sale,94123,Compass,5,6,4206,6500000,,,,,94123,6500000,,,,,,
673,House for sale,94123,Colliers International,6,0,6324,4000000,,,,,94123,4000000,,,,,,
674,House for sale,94123,Compass,5,5,3274,3700000,,,,,94123,3700000,,,,,,
675,House for sale,94123,Compass,4,4,5142,13999000,,,,,94123,13999000,,,,,,
676,House for sale,94123,Mark Vasquez,2,2,1320,1395000,,,,,94123,1395000,,,,,,
677,House for sale,94123,Mark Vasquez,5,0,3276,3795000,,,,,94123,3795000,,,,,,
678,New construction,94123,Vanguard Properties,2,2,1044,1695000,,,,,94123,1695000,,,,,,
679,Under Contract,94123,Sotheby's International Realty,5,0,3107,2495000,,,,,94123,2495000,,,,,,
680,House for sale,94123,Sotheby's International Realty,5,0,4188,3600000,,,,,94123,3600000,,,,,,
681,House for sale,94123,Compass,3,4,3111,4500000,,,,,94123,4500000,,,,,,
682,Condo for sale,94123,Coldwell Banker Realty,2,2,1595,1795000,,,,,94123,1795000,,,,,,
683,House for sale,94123,Kinoko,3,1,3037,2645000,,,,,94123,2645000,,,,,,
684,Condo for sale,94123,Compass,2,2,0,1595000,,,,,94123,1595000,,,,,,
685,New construction,94123,Vanguard Properties,1,1,721,1049000,,,,,94123,1049000,,,,,,
686,New construction,94123,Vanguard Properties,2,2,1200,1649000,,,,,94123,1649000,,,,,,
687,Under Contract,94123,Sotheby's International Realty,2,2,1434,1649000,,,,,94123,1649000,,,,,,
688,House for sale,94122,Compass,3,2,1300,1295000,,,,,94122,1295000,,,,,,
689,House for sale,94122,Pacific Edge,3,3,1900,1595000,,,,,94122,1595000,,,,,,
690,House for sale,94122,Compass SF,1,1,700,699000,,,,,94122,699000,,,,,,
691,House for sale,94122,Vanguard Properties,2,1,0,795000,,,,,94122,795000,,,,,,
692,House for sale,94122,Alex Varum Broker,7,6,3257,2595000,,,,,94122,2595000,,,,,,
693,House for sale,94122,Compass,4,2,1990,1650000,,,,,94122,1650000,,,,,,
694,House for sale,94122,Compass,4,4,2580,1998000,,,,,94122,1998000,,,,,,
695,House for sale,94122,Mosaik Real Estate,3,2,1568,998000,,,,,94122,998000,,,,,,
696,New construction,94122,Douglas & Co. R.E.,2,1,1300,1799000,,,,,94122,1799000,,,,,,
697,House for sale,94122,Coldwell Banker Realty,3,3,1908,1475000,,,,,94122,1475000,,,,,,
698,House for sale,94122,Compass SF,3,2,1543,1200000,,,,,94122,1200000,,,,,,
699,House for sale,94122,Compass SF,3,2,0,1550000,,,,,94122,1550000,,,,,,
700,Under Contract,94122,Corcoran Global Living,6,3,2723,1424000,,,,,94122,1424000,,,,,,
